ticker,start_time,Q_shares,v60,realized_vol,volume_cv,twap_fill,vwap_fill,twap_is,vwap_is,market_vwap,twap_slip_mvwap,vwap_slip_mvwap,twap_avg_price,vwap_avg_price,p0,is_diff_vwap_minus_twap,vwap_better_is,slip_diff_vwap_minus_twap,vwap_better_mvwap
MSFT,2026-01-07 12:30:00-05:00,11956.71,1195671.0,0.0021605743652013,0.1985755626752263,1.0,1.0,0.5753173828123295,0.5675344263668194,488.49752710214824,0.0077829564453963,-1.1368683772161605e-13,488.5053100585936,488.4975271021481,487.9299926757813,-0.00778295644551,True,-0.00778295644551,True
NVDA,2026-01-28 11:05:00-05:00,164667.18,16466718.0,0.0057471386366731,0.1830137820216495,1.0,1.0,-0.5254948933919081,-0.6196669598744222,191.03032693661,0.0941720664824856,-2.8421709430404014e-14,191.1244990030925,191.03032693661,191.6499938964844,-0.094172066482514,True,-0.094172066482514,True
AMZN,2026-01-16 11:55:00-05:00,17589.22,1758922.0,0.002254177933178,0.1764577682064044,1.0,1.0,0.0035298665364678,0.0230469827548631,237.86304332064552,-0.0195171162183953,0.0,237.84352620442712,237.86304332064552,237.83999633789065,0.0195171162183953,False,0.0195171162183953,False
NVDA,2025-12-30 13:25:00-05:00,59472.27,5947227.0,0.0021108598530943,0.1451524435486703,1.0,1.0,-0.0783856709797987,-0.0763551039327126,188.13964831403604,-0.0020305670470861,0.0,188.13761774698895,188.13964831403604,188.21600341796875,0.0020305670470861,False,0.0020305670470861,False
AAPL,2026-02-05 11:40:00-05:00,23207.23,2320723.0,0.0050656721954921,0.1462440295067905,1.0,1.0,-0.0936050415039062,-0.06146355803412,274.6035449868877,-0.0321414834697293,5.684341886080803e-14,274.57140350341797,274.60354498688775,274.6650085449219,0.0321414834697861,False,0.0321414834697861,False
AAPL,2026-02-23 15:20:00-05:00,154418.89,15441889.0,0.021957631389233,1.5236386350812412,0.9239182244262129,0.9999999999999998,3.0486823975339803,2.2393833492762383,268.8593784664637,0.8092990482577989,5.684341886080803e-14,269.6686775147215,268.85937846646374,266.6199951171875,-0.809299048257742,True,-0.809299048257742,True
SPY,2026-01-27 15:55:00-05:00,172421.83000000002,17242183.0,0.00326516421787,0.746948977158626,1.0,1.0,1.3621063232420738,1.1721039176690056,696.712081945013,0.1900024055728408,-2.273736754432321e-13,696.9020843505858,696.7120819450128,695.5399780273438,-0.1900024055730682,True,-0.1900024055730682,True
NVDA,2026-01-13 13:20:00-05:00,92774.24,9277424.0,0.0024668760115869,0.1468065708672352,1.0,1.0,-0.207246144612526,-0.2124777343412915,184.79751677249465,0.0052315897287371,-2.8421709430404014e-14,184.80274836222335,184.79751677249465,185.0099945068359,-0.0052315897287655,True,-0.0052315897287655,True
MSFT,2025-12-03 09:35:00-05:00,59846.54,5984654.0,0.0136417338010057,0.502213495237573,1.0,1.0,0.7311630249022869,1.4818585417150985,478.318772604215,-0.7506955168126979,1.1368683772161605e-13,477.5680770874023,478.3187726042151,476.8369140625,0.7506955168128115,False,0.7506955168128115,False
SPY,2025-12-11 12:55:00-05:00,60657.46,6065746.0,0.0015066023520721,0.2358334983642623,0.9999999999999998,1.0,0.6246134440106061,0.6402829780985257,687.9302610054423,-0.0156695340879196,0.0,687.9145914713544,687.9302610054423,687.2899780273438,0.0156695340879196,False,0.0156695340879196,False
